"","x"
"1211",1.88006170090635
"1216",2.14721475855995
"1221",3.03463370622984
"1225",2.84229953576106
"1238",2.81723106836924
"1243",1.7398097404904
"1244",2.94670053021742
"1252",2.22043502839126
"1254",2.09399609100554
"1262",2.84122724015612
"1279",3.03495487280695
"1280",2.98570323708543
"1288",1.93076662189931
"1298",2.19316454018761
"1306",1.88469750399119
"1307",3.06749105783409
"1317",2.25591213185801
"1318",2.13792496622418
"1322",2.05692515727613
"1327",1.97874880223639
"1329",2.83579678604599
"1333",2.67141895944083
"1340",1.77985613068424
"1347",2.91154191732204
"1348",1.84729901637605
"1349",2.00121088035149
"1358",3.29493950876187
"1368",2.22078191687161
"1369",3.09244508267151
"1373",1.82734030318555
"1382",1.86710405537056
"1391",2.88461269074443
"1393",3.14918774979569
"1401",2.77724510161209
"1404",2.20793801671387
"1406",2.80329408324028
"1414",3.38578458262673
"1423",1.98564498198378
"1425",3.1019623770898
"1426",2.9292631335841
"1430",2.43578850938647
"1431",3.24830115208155
"1432",3.13257461688505
"1434",2.15767889417142
"1435",2.93291061747794
"1436",2.98391199634166
"1437",2.96315714348476
"1438",3.10746545161892
"1443",2.9944935816979
"1449",2.23094389757779
"1452",2.91426095265061
"1461",3.23361822141096
"1467",3.16741612430569
"1468",2.8560577568337
"1473",2.4277355347746
"1483",1.83544840942649
"1491",2.05456620233584
"1498",3.00551248186475
"1502",2.96661684006212
"1507",2.058009842867
"1510",1.96657286049744
"1523",2.8885542730851
"1527",2.95698439346604
"1543",1.91480643955154
"1550",1.74803724820105
"1555",2.2176056703783
"1560",2.87165433635474
"1561",2.78283528442942
"1565",2.90387020576585
"1566",3.09028645382858
"1570",2.0004637536499
"1575",2.01757984895072
"1580",2.28581196634203
"1584",2.263560588867
"1589",1.83888692327695
"1594",2.17124726985554
"1599",2.03550520142063
"1604",1.89064536435054
"1614",2.1384140682635
"1616",2.46139674355315
"1621",2.71120972075675
"1622",1.94125240026253
"1623",2.37361907602912
"1627",1.92854759126418
"1630",2.29441749515361
"1667",2.08988349834996
"1669",1.92576388702812
"1676",2.70384064023363
"1677",1.91532476684721
"1691",1.95962144370129
"1696",3.11498677108915
"1698",2.01670843317575
"1700",1.97959937436268
"1701",2.12444569886449
"1703",3.21280931737581
"1704",1.94487980031213
"1706",1.77330251824759
"1707",3.10807001850727
"1709",2.15941111956885
"1710",3.12434347600001
"1714",1.96477655697691
"1717",2.03584751677601
"1719",2.10296352528077
"1720",3.43618589543841
"1723",2.61619444685431
"1725",2.46733503006768
"1728",2.86500152528862
"1732",3.27291305394349
"1736",2.96135239589606
"1746",2.24353614276535
"1750",2.00461388470979
"1771",2.28744768008824
"1775",2.81858373658505
"1776",2.15498361426322
"1777",2.16521433507594
"1786",3.26809924103454
"1790",2.10159622963218
"1792",2.1378305753779
"1795",1.95140681940034
"1799",2.17746699151647
"1800",2.13250604073067
"1810",3.1118750265151
"1831",2.84085317571344
"1833",3.25168605491885
"1843",3.09692466849018
"1848",2.16578807036481
"1850",1.94053653394058
"1863",2.11653796846824
"1874",2.72753608546562
"1877",1.8500749403859
"1897",1.84243640068344
"1920",2.87749193386494
"1921",2.57672559813637
"1925",1.97113257662269
"1942",2.03764076643496
"1947",2.19183790826995
"1951",2.82957956083133
"1959",3.10740800128245
"1965",7.96472041195592
"1987",2.09507258123005
"1995",3.04412568551299
"2000",1.70235738115905
"2003",2.90620459532499
